,,31.10.22,KW44
년,Jahr,01.11.22,
이,Dies,02.11.22,
말하다,sagen,03.11.22,
집,Heim,04.11.22,
문제,Problem,05.11.22,
여자,Frau,06.11.22,
아이,Kind,07.11.22,KW45
시간,Stunde,08.11.22,
너,Sie,09.11.22,
인간,Mensch,10.11.22,
어머니,Mutter,11.11.22,
세계,Welt,12.11.22,
학교,Schule,13.11.22,
날,mich,14.11.22,KW46
친구,Freund,15.11.22,
아버지,Vater,16.11.22,
남자,Mann,17.11.22,
몸,Karosserie,18.11.22,
얼굴,Gesicht,19.11.22,
물,Wasser,20.11.22,
길,Straße,21.11.22,KW47
처음,Erste,22.11.22,
시,Stadt,23.11.22,
이야기,Geschichte,24.11.22,
같이,zusammen,25.11.22,
선생님,Lehrer,26.11.22,
예술,Kunst,27.11.22,
역사,Geschichte,28.11.22,KW48
책,Buchen,29.11.22,
힘,Stärke,30.11.22,
나라,Land,01.12.22,
죽다,sterben,02.12.22,
학생,Schüler,03.12.22,
이름,Name,04.12.22,
이유,Grund,05.12.22,KW49
또는,oder,06.12.22,
남편,Ehemann,07.12.22,
밖,außen,08.12.22,
작다,klein,09.12.22,
문학,Literatur,10.12.22,
밤,Nacht,11.12.22,
높다,hoch,12.12.22,KW50
최근,jüngste,13.12.22,
컴퓨터,Computer,14.12.22,
먼저,Erste,15.12.22,
열다,offen,16.12.22,
머리,Kopf,17.12.22,
묻다,Fragen,18.12.22,
부분,Teil,19.12.22,KW51
아들,Sohn,20.12.22,
기다리다,Warten,21.12.22,
활동,Aktivität,22.12.22,
오늘,heute,23.12.22,
광고,Anzeige,24.12.22,
방,Zimmer,25.12.22,
정신,geistig,26.12.22,KW52
땅,Erde,27.12.22,
아침,Morgen,28.12.22,
끝,Ende,29.12.22,
영화,Film,30.12.22,
하늘,Himmel,31.12.22,
과학,Wissenschaft,01.01.23,
자연,Natur,02.01.23,KW1
밥,Reis,03.01.23,
프로그램,Programm,04.01.23,
그림,Malerei,05.01.23,
마시다,Getränk,06.01.23,
술,Alkohol,07.01.23,
사랑,Liebe,08.01.23,
전화,Telefon,09.01.23,KW2
커피,Kaffee,10.01.23,
맛,Geschmack,11.01.23,
매우,sehr,12.01.23,
음식,Lebensmittel,13.01.23,
성격,Charakter,14.01.23,
아내,Ehefrau,15.01.23,
가족,Familie,16.01.23,KW3
차,Wagen,17.01.23,
도시,Stadt,18.01.23,
작업,Arbeit,19.01.23,
나이,das Alter,20.01.23,
믿다,vertrauen,21.01.23,
배우다,lernen,22.01.23,
시,Stadt,23.01.23,KW4
예,Ja,24.01.23,
깊다,tief,25.01.23,
산,Berg,26.01.23,
새,Vogel,27.01.23,
문,Tür,28.01.23,
꽃,Blume,29.01.23,
갑자기,plötzlich,30.01.23,KW5 
바람,Wind,31.01.23,
마을,"Stadt, Dorf",01.02.23,
노래,Lied,02.02.23,
바다,Ozean,03.02.23,
불,Feuer,04.02.23,
신문,Zeitung,05.02.23,
이해하다,Verstehe,06.02.23,KW6
선생,Lehrer,07.02.23,
기분,Stimmung,08.02.23,
옷,Kleid,09.02.23,
전쟁,Krieg,10.02.23,
전,Ich bin,11.02.23,
꿈,Traum,12.02.23,
할머니,Oma,13.02.23,KW7
나무,Baum,14.02.23,
자다,schlafen,15.02.23,
연극,Theater,16.02.23,
걷다,Gehen,17.02.23,
노동,Arbeit,18.02.23,
집단,Gruppe,19.02.23,
시절,Tage,20.02.23,KW8
발,Fuß,21.02.23,
불교,Buddhismus,22.02.23,
빨리,sich beeilen,23.02.23,
우주,Platz,24.02.23,
시기,Zeitraum,25.02.23,
음악,Musik,26.02.23,
최고,Beste,27.02.23,KW9
비,Regen,28.02.23,
농민,Bauer,01.03.23,
은행,Bank,02.03.23,
동생,Bruder,03.03.23,
소설,Roman,04.03.23,
오후,Nachmittag,05.03.23,
딸,Tochter,06.03.23,KW10
병원,Krankenhaus,07.03.23,
경찰,Polizei,08.03.23,
저녁,Abendessen,09.03.23,
넓다,breit,10.03.23,
잠,schlafen,11.03.23,
건강,die Gesundheit,12.03.23,
건물,Gebäude,13.03.23,KW11
어른,Erwachsene,14.03.23,
부모,Eltern,15.03.23,
할아버지,Großvater,16.03.23,
사고,Unfall,17.03.23,
쌀,Reis,18.03.23,
가르치다,unterrichten,19.03.23,
막다,Block,20.03.23,KW12
달리,Dali,21.03.23,
모두,alle,22.03.23,
마치다,Fertig,23.03.23,
버스,Bus,24.03.23,
잇다,verbinden,25.03.23,
목적,Zweck,26.03.23,
다리,Bein,27.03.23,KW13
해,Sonne,28.03.23,
자유,Freiheit,29.03.23,
책임,Verantwortung,30.03.23,
달러,Dollar,31.03.23,
아니,nein,01.04.23,
여름,Sommer,02.04.23,
지구,Erde,03.04.23,KW14
값,Wert,04.04.23,
자동차,Wagen,05.04.23,
어린이,Kinder,06.04.23,
눈물,Träne,07.04.23,
빛,hell,08.04.23,
아니,nein,09.04.23,
지식,Wissen,10.04.23,KW15
발견하다,Entdecken,11.04.23,
선수,Spieler,12.04.23,
귀,Ohr,13.04.23,
미터,Meter,14.04.23,
감정,Emotion,15.04.23,
기억,Erinnerung,16.04.23,
인기,Popularität,17.04.23,KW16
배,Schiff,18.04.23,
짧다,kurz,19.04.23,
바쁘다,belebt,20.04.23,
게임,Spiel,21.04.23,
그룹,Gruppe,22.04.23,
가격,Preis,23.04.23,
모임,Klasse,24.04.23,KW17
웃음,Lachen,25.04.23,
뉴스,Nachrichten,26.04.23,
겨울,Winter,27.04.23,
종교,Religion,28.04.23,
잊다,vergessen,29.04.23,
반,halb,30.04.23,
텔레비전,Fernsehen,01.05.23,KW18
보호,beschützen,02.05.23,
씻다,waschen,03.05.23,
편지,Buchstabe,04.05.23,
까닭,Grund,05.05.23,
소녀,Mädchen,06.05.23,
봄,Frühling,07.05.23,
어깨,Schulter,08.05.23,KW19
죽음,Tod,09.05.23,
공,Null,10.05.23,
알리다,informieren,11.05.23,
멀리,weit,12.05.23,
예쁘다,hübsch,13.05.23,
맛있다,köstlich,14.05.23,
미,mi,15.05.23,KW20
언론,Drücken Sie,16.05.23,
목표,Ziel,17.05.23,
숲,Wald,18.05.23,
새벽,Dämmerung,19.05.23,
쓰레기,Müll,20.05.23,
,,21.05.23,
,,22.05.23,KW21
,,23.05.23,
,,24.05.23,
,,25.05.23,
,,26.05.23,
,,27.05.23,
,,28.05.23,
,,29.05.23,KW22
,,30.05.23,
,,31.05.23,
,,01.06.23,
,,02.06.23,
,,03.06.23,
,,04.06.23,
,,05.06.23,KW23
,,06.06.23,
,,07.06.23,
,,08.06.23,
,,09.06.23,
,,10.06.23,
,,11.06.23,
,,12.06.23,KW24
,,13.06.23,
,,14.06.23,
,,15.06.23,
,,16.06.23,
,,17.06.23,
,,18.06.23,
,,19.06.23,KW25
,,20.06.23,
,,21.06.23,
,,22.06.23,
,,23.06.23,
,,24.06.23,
,,25.06.23,
,,26.06.23,KW26
,,27.06.23,
,,28.06.23,
,,29.06.23,
,,30.06.23,
,,01.07.23,
,,02.07.23,
,,03.07.23,KW27
,,04.07.23,
,,05.07.23,
,,06.07.23,
,,07.07.23,
,,08.07.23,
,,09.07.23,
,,10.07.23,KW28
,,11.07.23,
,,12.07.23,
,,13.07.23,
,,14.07.23,
,,15.07.23,
,,16.07.23,
,,17.07.23,KW29
,,18.07.23,
,,19.07.23,
,,20.07.23,
,,21.07.23,
